periodo,cnt_nominal_bi
2010Q1,163.7255
2010Q2,172.8029
2010Q3,179.9399
2010Q4,222.4976
2011Q1,177.7862
2011Q2,199.0199
2011Q3,199.0273
2011Q4,241.2047
2012Q1,194.5404
2012Q2,215.5091
2012Q3,215.5527
2012Q4,266.5779
2013Q1,214.4882
2013Q2,247.033
2013Q3,244.3658
2013Q4,301.3881
2014Q1,244.4839
2014Q2,269.1576
2014Q3,272.8783
2014Q4,320.3542
2015Q1,266.3158
2015Q2,290.1793
2015Q3,287.9218
2015Q4,341.359
2016Q1,284.7479
2016Q2,312.1029
2016Q3,303.2635
2016Q4,377.5307
2017Q1,302.8184
2017Q2,333.5587
2017Q3,314.3608
2017Q4,377.0201
2018Q1,315.1743
2018Q2,342.5688
2018Q3,338.3385
2018Q4,397.3983
2019Q1,332.8538
2019Q2,367.4531
2019Q3,357.1836
2019Q4,419.1225
2020Q1,344.7918
2020Q2,381.9806
2020Q3,366.836
2020Q4,438.5955
2021Q1,359.9215
2021Q2,411.4677
2021Q3,408.387
2021Q4,491.7587
2022Q1,385.3427
2022Q2,456.7867
2022Q3,462.2302
2022Q4,550.524
2023Q1,435.0385
2023Q2,511.5292
2023Q3,506.8464
2023Q4,630.4845
2024Q1,475.4443
2024Q2,551.0367
2024Q3,546.4603
2024Q4,637.9771
