ano,bimestre,cod_ibge,uf,valor_bi
2015,1,1,BR,35.977204
2015,2,1,BR,35.719221
2015,3,1,BR,41.728977
2015,4,1,BR,36.090159
2015,5,1,BR,36.024417
2015,6,1,BR,50.285509
2016,1,1,BR,38.878674
2016,2,1,BR,37.622474
2016,3,1,BR,43.52042
2016,4,1,BR,38.503825
2016,5,1,BR,44.21645
2016,6,1,BR,52.926265
2017,1,1,BR,44.258091
2017,2,1,BR,42.217938
2017,3,1,BR,53.37765
2017,4,1,BR,42.473329
2017,5,1,BR,42.812393
2017,6,1,BR,56.164957
2018,1,1,BR,46.001935
2018,2,1,BR,47.580548
2018,3,1,BR,51.260061
2018,4,1,BR,45.527409
2018,5,1,BR,44.539084
2018,6,1,BR,58.908512
2019,1,1,BR,48.299477
2019,2,1,BR,50.810261
2019,3,1,BR,54.40684
2019,4,1,BR,46.691538
2019,5,1,BR,46.999909
2019,6,1,BR,62.258117
2020,1,1,BR,23.469806
2020,2,1,BR,48.215681
2020,3,1,BR,59.150679
2020,4,1,BR,48.385692
2020,5,1,BR,48.655168
2020,6,1,BR,63.002619
2021,1,1,BR,50.247593
2021,2,1,BR,48.682761
2021,3,1,BR,63.036646
2021,4,1,BR,24.654326
2021,5,1,BR,49.074606
2021,6,1,BR,60.327647
2022,1,1,BR,50.818789
2022,2,1,BR,49.788825
2022,3,1,BR,57.387156
2022,4,1,BR,57.651867
2022,5,1,BR,50.946472
2022,6,1,BR,66.430349
2023,1,1,BR,52.59032
2023,2,1,BR,52.557899
2023,3,1,BR,65.689092
2023,4,1,BR,53.553864
2023,5,1,BR,54.036403
2023,6,1,BR,84.754993
2024,1,1,BR,56.274607
2024,2,1,BR,56.296583
2024,3,1,BR,64.704082
2024,4,1,BR,55.533437
2024,5,1,BR,56.740204
2024,6,1,BR,56.740204
