model,window,n,RMSE,MAPE,Corr
spec_estados_sal_ce_chow_lin,2015Q1-2017Q4,12,11.4615,2.5690,0.9465
spec_estados_sal_ce_chow_lin,2018Q1-2024Q4,28,12.9302,2.3141,0.9893
spec_estados_sal_ce_chow_lin,2015Q1-2024Q4,40,12.5077,2.3906,0.9912
spec01_uniao_sal_ce_litterman,2015Q1-2017Q4,12,14.7225,3.7481,0.9386
spec01_uniao_sal_ce_litterman,2018Q1-2024Q4,28,33.3243,6.0101,0.9253
spec01_uniao_sal_ce_litterman,2015Q1-2024Q4,40,29.0238,5.3315,0.9510
spec13_uniao_estados_sal_ce_ci_chow_lin,2015Q1-2017Q4,12,12.0494,2.8904,0.9424
spec13_uniao_estados_sal_ce_ci_chow_lin,2018Q1-2024Q4,28,19.4937,3.6513,0.9760
spec13_uniao_estados_sal_ce_ci_chow_lin,2015Q1-2024Q4,40,17.5943,3.4230,0.9827
