rank_oos,spec,method,n_train,n_test,n_full,RMSE_train,MAPE_train,Corr_train,RMSE_oos,MAPE_oos,Corr_oos,RMSE_full,MAPE_full,Corr_full,RMSE_2015_2024,MAPE_2015_2024,Corr_2015_2024
1,spec03_uniao_estados_sal_ce,pro_rata,36,8,44,14.8569,2.5190,0.9833,16.2673,2.5042,0.9789,15.1231,2.5163,0.9904,15.2688,2.5653,0.9867
2,spec03_uniao_estados_sal_ce,denton_prop,36,8,44,15.4052,2.7013,0.9823,16.3709,2.5221,0.9787,15.4483,2.6560,0.9901,15.5372,2.7035,0.9863
3,spec03_uniao_estados_sal_ce,denton_prop_d2,36,8,44,15.5845,2.7473,0.9819,16.3799,2.5234,0.9787,15.5770,2.6831,0.9899,15.7473,2.7459,0.9860
4,spec03_uniao_estados_sal_ce,chow_lin,36,8,44,14.5220,2.6070,0.9838,16.5984,2.5546,0.9786,15.6151,2.6568,0.9898,15.3900,2.6629,0.9864
5,spec03_uniao_estados_sal_ce,fernandez,36,8,44,14.4981,2.6059,0.9838,16.6456,2.5618,0.9785,15.6023,2.6545,0.9898,15.3739,2.6611,0.9865
6,spec03_uniao_estados_sal_ce,litterman,36,8,44,14.2873,2.6251,0.9843,16.6456,2.5618,0.9785,15.6478,2.6554,0.9898,15.4813,2.7014,0.9864
7,spec13_uniao_estados_sal_ce_ci,litterman,36,8,44,16.1808,3.2287,0.9806,18.8153,2.8339,0.9625,16.9448,3.2106,0.9882,17.8227,3.3611,0.9824
8,spec13_uniao_estados_sal_ce_ci,fernandez,36,8,44,15.8702,3.2357,0.9811,18.8155,2.8339,0.9625,16.7575,3.1953,0.9884,17.2374,3.3406,0.9834
9,spec13_uniao_estados_sal_ce_ci,chow_lin,36,8,44,15.8446,3.2346,0.9812,18.6347,2.8628,0.9627,16.7410,3.1929,0.9884,17.2015,3.3387,0.9834
10,spec13_uniao_estados_sal_ce_ci,denton_prop_d2,36,8,44,15.9741,3.1474,0.9808,18.9544,2.9475,0.9648,16.3109,3.0878,0.9889,16.6689,3.2214,0.9842
11,spec_estados_sal_ce,denton_prop_d2,36,8,44,12.0950,2.4613,0.9894,18.2292,2.9546,0.9718,13.5430,2.5908,0.9926,12.4393,2.5046,0.9914
12,spec_estados_sal_ce,denton_prop,36,8,44,11.9493,2.4234,0.9896,18.1371,2.9552,0.9718,13.3426,2.5659,0.9928,12.4578,2.5024,0.9914
13,spec_estados_sal_ce,pro_rata,36,8,44,11.4324,2.2791,0.9903,17.6465,2.9568,0.9703,12.7888,2.4024,0.9934,11.9648,2.3284,0.9921
14,spec13_uniao_estados_sal_ce_ci,denton_prop,36,8,44,15.8903,3.1043,0.9809,19.0872,2.9668,0.9644,16.2242,3.0619,0.9890,16.5380,3.1855,0.9845
15,spec13_uniao_estados_sal_ce_ci,pro_rata,36,8,44,16.1994,2.9971,0.9801,20.3009,3.2155,0.9609,17.0188,3.0368,0.9879,17.2471,3.1283,0.9830
16,spec_estados_sal_ce,chow_lin,36,8,44,10.8590,2.1772,0.9909,30.4082,4.2330,0.9637,13.7307,2.6458,0.9924,11.7103,2.2038,0.9923
17,spec03_uniao_estados_sal_ce,denton_add,36,8,44,19.7479,3.6370,0.9721,34.1165,4.2997,0.9342,22.7689,3.7276,0.9792,21.6562,3.7223,0.9745
18,spec13_uniao_estados_sal_ce_ci,denton_add,36,8,44,19.0387,3.6038,0.9739,32.2886,4.3300,0.9404,21.7291,3.6961,0.9811,20.7988,3.7168,0.9764
19,spec_estados_sal_ce,fernandez,36,8,44,10.8528,2.1708,0.9909,32.1106,4.4212,0.9629,12.2625,2.3489,0.9937,11.7487,2.2072,0.9922
20,spec_estados_sal_ce,litterman,36,8,44,11.2134,2.1920,0.9905,32.1106,4.4212,0.9629,12.2180,2.2476,0.9938,13.3443,2.5158,0.9903
21,spec_estados_sal_ce,denton_add,36,8,44,24.9097,4.8468,0.9542,35.9892,4.7594,0.9177,27.2778,4.8320,0.9697,26.2449,4.8703,0.9618
22,spec_uniao_sal_ce_ci,denton_add,36,8,44,28.9643,5.5374,0.9357,48.3575,6.4220,0.7744,32.7737,5.6261,0.9550,31.2188,5.6281,0.9441
23,spec_rpps_ci_uniao,denton_add,36,8,44,34.3095,6.6676,0.9067,49.9018,6.4520,0.7469,37.3528,6.5992,0.9407,35.9102,6.6411,0.9245
24,spec01_uniao_sal_ce,pro_rata,36,8,44,36.8856,6.1101,0.9046,46.1619,6.4843,0.7447,38.7378,6.1781,0.9383,39.9462,6.4428,0.9124
25,spec01_uniao_sal_ce,denton_add,36,8,44,29.9646,5.7062,0.9309,50.4350,6.6175,0.7379,34.0889,5.8181,0.9512,32.3998,5.8029,0.9395
26,spec01_uniao_sal_ce,chow_lin,36,8,44,30.1405,5.6586,0.9304,48.7651,6.8108,0.7261,31.2054,5.4888,0.9586,29.6207,5.4372,0.9488
27,spec01_uniao_sal_ce,fernandez,36,8,44,30.0394,5.6507,0.9308,48.8018,6.8142,0.7258,31.1620,5.4815,0.9587,29.5698,5.4282,0.9490
28,spec01_uniao_sal_ce,litterman,36,8,44,28.3650,5.5107,0.9372,48.8019,6.8142,0.7258,30.7729,5.3861,0.9599,29.0238,5.3315,0.9510
29,spec01_uniao_sal_ce,denton_prop,36,8,44,37.1277,6.2370,0.9053,50.3191,7.2615,0.6833,39.1467,6.3400,0.9377,38.8858,6.3731,0.9188
30,spec01_uniao_sal_ce,denton_prop_d2,36,8,44,37.2419,6.2565,0.9050,50.6953,7.3318,0.6772,39.4537,6.3995,0.9366,38.7069,6.3616,0.9196
31,spec_uniao_sal_ce_ci,denton_prop_d2,36,8,44,32.8817,6.3998,0.9223,46.4741,7.5281,0.7377,34.7153,6.5334,0.9503,34.5776,6.6370,0.9343
32,spec_uniao_sal_ce_ci,denton_prop,36,8,44,32.8814,6.4076,0.9222,46.5411,7.5396,0.7368,34.5789,6.5147,0.9507,34.8340,6.6770,0.9333
33,spec_uniao_sal_ce_ci,pro_rata,36,8,44,33.9205,6.4277,0.9175,47.1504,7.6655,0.7287,36.6825,6.6527,0.9445,37.5037,6.8888,0.9223
34,spec_uniao_sal_ce_ci,fernandez,36,8,44,26.5518,5.3383,0.9457,47.4759,7.6799,0.7268,30.0446,5.4383,0.9622,29.7604,5.5126,0.9492
35,spec_uniao_sal_ce_ci,litterman,36,8,44,26.5474,5.3204,0.9459,47.4759,7.6799,0.7268,30.0137,5.4197,0.9623,29.9609,5.5050,0.9486
36,spec_uniao_sal_ce_ci,chow_lin,36,8,44,26.5260,5.3380,0.9458,47.4628,7.6799,0.7268,30.0174,5.4385,0.9622,29.7142,5.5110,0.9494
37,spec_rpps_ci_uniao,pro_rata,36,8,44,,,,81.2590,11.9154,0.5020,,,,,,
38,spec_rpps_ci_uniao,chow_lin,36,8,44,34.0179,6.6104,0.9084,134.7918,20.2505,-0.2351,37.5850,6.6431,0.9399,35.7052,6.6175,0.9254
39,spec_rpps_ci_uniao,fernandez,36,8,44,34.0324,6.6140,0.9084,135.0959,20.2947,-0.2356,37.6196,6.6497,0.9398,35.7281,6.6198,0.9253
40,spec_rpps_ci_uniao,litterman,36,8,44,33.8047,6.5915,0.9097,135.0958,20.2947,-0.2356,37.4178,6.6295,0.9405,35.7229,6.6098,0.9253
