model,n,RMSE,MAE,MAPE,MPE,MaxAE,MaxPE,Corr,R2,TheilU1,TheilU2,BiasPct
spec_estados_sal_ce_pro_rata,44,12.7888,10.5348,2.4024,-0.0323,24.9182,6.5234,0.9934,0.9864,0.0147,0.2789,0.0000
spec03_uniao_estados_sal_ce_pro_rata,44,15.1231,10.4320,2.5163,0.0643,57.9101,14.1802,0.9904,0.9810,0.0174,0.3378,-0.0000
spec_estados_sal_ce_denton_prop,44,13.3426,11.1531,2.5659,-0.0393,28.1726,7.1340,0.9928,0.9852,0.0154,0.2945,-0.0000
spec_estados_sal_ce_chow_lin,44,13.7307,11.4822,2.6458,-0.0549,31.5787,7.5952,0.9924,0.9843,0.0158,0.2984,0.0000
spec03_uniao_estados_sal_ce_denton_prop,44,15.4483,11.0013,2.6560,0.0433,53.2842,13.0475,0.9901,0.9801,0.0178,0.3416,0.0000
spec03_uniao_estados_sal_ce_chow_lin,44,15.6151,11.0208,2.6568,0.0870,49.3178,12.0762,0.9898,0.9797,0.0180,0.3419,-0.0000
spec01_uniao_sal_ce_chow_lin,44,31.2054,23.4125,5.4888,0.4393,80.0530,17.0806,0.9586,0.9189,0.0360,0.6843,-0.0000
spec01_uniao_sal_ce_pro_rata,44,38.7378,26.0760,6.1781,0.2268,130.6202,31.9844,0.9383,0.8751,0.0447,0.8515,0.0000
spec01_uniao_sal_ce_denton_prop,44,39.1467,26.9004,6.3400,0.1842,126.6460,31.0113,0.9377,0.8724,0.0451,0.8682,0.0000
