rank,model,n,RMSE,MAE,MAPE,MPE,MaxAE,MaxPE,Corr,R2,TheilU1,TheilU2,BiasPct
1,spec_estados_sal_ce_chow_lin,40,12.5077,9.5638,2.3906,0.1638,28.7277,7.6094,0.9912,0.9822,0.0152,0.3266,-0.0000
2,spec_estados_sal_ce_fernandez,40,12.5458,9.5810,2.3947,0.1671,28.8409,7.6394,0.9912,0.9821,0.0153,0.3282,-0.0000
3,spec_estados_sal_ce_pro_rata,40,12.2965,9.9861,2.4004,-0.0173,24.9182,6.5234,0.9916,0.9828,0.0149,0.2811,0.0000
4,spec03_uniao_estados_sal_ce_pro_rata,40,15.3694,10.5333,2.6252,0.0674,57.9101,14.1802,0.9865,0.9731,0.0187,0.3461,0.0000
5,spec_estados_sal_ce_denton_prop,40,12.8843,10.7380,2.6271,-0.0136,28.1810,7.1338,0.9908,0.9811,0.0157,0.3022,-0.0000
6,spec_estados_sal_ce_denton_prop_d2,40,12.8927,10.7138,2.6457,-0.0134,29.0971,7.2426,0.9907,0.9811,0.0157,0.3018,-0.0000
7,spec03_uniao_estados_sal_ce_fernandez,40,15.5447,10.9754,2.7425,0.1214,46.2458,11.3240,0.9862,0.9725,0.0189,0.3392,-0.0000
8,spec03_uniao_estados_sal_ce_chow_lin,40,15.5552,10.9757,2.7438,0.1188,46.4592,11.3763,0.9861,0.9725,0.0189,0.3394,-0.0000
9,spec_estados_sal_ce_litterman,40,14.4064,11.1607,2.7632,0.2630,34.1113,8.5395,0.9887,0.9764,0.0175,0.3901,-0.0000
10,spec03_uniao_estados_sal_ce_denton_prop,40,15.7128,11.1722,2.7963,0.0427,53.2854,13.0478,0.9860,0.9719,0.0191,0.3529,0.0000
11,spec03_uniao_estados_sal_ce_litterman,40,15.8266,11.3717,2.8108,0.1927,40.3969,9.8918,0.9858,0.9715,0.0193,0.3480,-0.0000
12,spec03_uniao_estados_sal_ce_denton_prop_d2,40,15.9323,11.3535,2.8359,0.0417,53.2957,13.0503,0.9856,0.9711,0.0194,0.3542,0.0000
13,spec13_uniao_estados_sal_ce_ci_pro_rata,40,17.3362,12.7628,3.1882,0.0630,53.3806,13.0711,0.9828,0.9658,0.0211,0.3764,0.0000
14,spec13_uniao_estados_sal_ce_ci_denton_prop,40,16.7024,12.9154,3.2742,0.0584,49.0752,12.0168,0.9841,0.9683,0.0203,0.3658,-0.0000
15,spec13_uniao_estados_sal_ce_ci_denton_prop_d2,40,16.8427,13.0540,3.3069,0.0565,49.1059,12.0244,0.9839,0.9677,0.0205,0.3667,-0.0000
16,spec13_uniao_estados_sal_ce_ci_chow_lin,40,17.5943,13.8527,3.4230,0.2834,42.8938,9.0218,0.9827,0.9648,0.0214,0.3914,-0.0000
17,spec13_uniao_estados_sal_ce_ci_fernandez,40,17.6342,13.8639,3.4245,0.2864,43.0155,9.0474,0.9826,0.9646,0.0215,0.3929,-0.0000
18,spec13_uniao_estados_sal_ce_ci_litterman,40,18.2930,14.0400,3.4500,0.3238,44.9566,9.4557,0.9814,0.9619,0.0223,0.4158,-0.0000
19,spec13_uniao_estados_sal_ce_ci_denton_add,40,20.9988,15.5164,3.7786,0.4388,50.1479,10.5476,0.9759,0.9498,0.0256,0.5058,0.0000
20,spec03_uniao_estados_sal_ce_denton_add,40,21.8459,15.5835,3.7845,0.4740,51.8878,10.7863,0.9740,0.9457,0.0266,0.5462,0.0000
21,spec_estados_sal_ce_denton_add,40,26.4448,20.1296,4.9325,0.6135,67.3185,12.0825,0.9611,0.9204,0.0322,0.7148,0.0000
22,spec01_uniao_sal_ce_litterman,40,29.0238,21.9380,5.3315,0.4945,79.2200,13.8275,0.9510,0.9042,0.0354,0.6449,-0.0000
23,spec01_uniao_sal_ce_fernandez,40,29.5698,22.2171,5.4282,0.4386,80.8068,15.7622,0.9490,0.9005,0.0360,0.6418,-0.0000
24,spec01_uniao_sal_ce_chow_lin,40,29.6207,22.2460,5.4372,0.4350,80.8719,15.9260,0.9488,0.9002,0.0361,0.6422,-0.0000
25,spec_uniao_sal_ce_ci_litterman,40,29.9609,22.8009,5.5050,0.6489,72.7319,13.5739,0.9486,0.8979,0.0365,0.7193,-0.0000
26,spec_uniao_sal_ce_ci_chow_lin,40,29.7142,22.7983,5.5110,0.6316,73.2403,13.5937,0.9494,0.8995,0.0362,0.7025,-0.0000
27,spec_uniao_sal_ce_ci_fernandez,40,29.7604,22.8086,5.5126,0.6344,73.2611,13.5998,0.9492,0.8992,0.0363,0.7051,-0.0000
28,spec_uniao_sal_ce_ci_denton_add,40,31.2188,23.3292,5.6281,0.6992,75.1878,13.9318,0.9441,0.8891,0.0381,0.7695,0.0000
29,spec01_uniao_sal_ce_denton_add,40,32.3998,24.1025,5.8029,0.7344,80.5247,14.3053,0.9395,0.8806,0.0395,0.8178,0.0000
30,spec01_uniao_sal_ce_denton_prop_d2,40,38.7069,25.8880,6.3616,0.1369,126.6720,31.0176,0.9196,0.8295,0.0470,0.8687,0.0000
31,spec01_uniao_sal_ce_denton_prop,40,38.8858,25.9663,6.3731,0.1401,126.6512,31.0125,0.9188,0.8279,0.0472,0.8709,-0.0000
32,spec01_uniao_sal_ce_pro_rata,40,39.9462,26.5216,6.4428,0.2114,130.6202,31.9844,0.9124,0.8184,0.0485,0.8742,0.0000
33,spec_rpps_ci_uniao_litterman,40,35.7229,27.1245,6.6098,0.8332,88.4794,14.7663,0.9253,0.8548,0.0436,0.9349,-0.0000
34,spec_rpps_ci_uniao_chow_lin,40,35.7052,27.1471,6.6175,0.8323,88.3399,14.7770,0.9254,0.8549,0.0435,0.9310,-0.0000
35,spec_rpps_ci_uniao_fernandez,40,35.7281,27.1559,6.6198,0.8331,88.4522,14.7676,0.9253,0.8548,0.0436,0.9321,-0.0000
36,spec_uniao_sal_ce_ci_denton_prop_d2,40,34.5776,26.8485,6.6370,0.1417,97.2714,23.8184,0.9343,0.8640,0.0420,0.7499,-0.0000
37,spec_rpps_ci_uniao_denton_add,40,35.9102,27.2384,6.6411,0.8386,88.9726,14.7792,0.9245,0.8533,0.0438,0.9396,-0.0000
38,spec_uniao_sal_ce_ci_denton_prop,40,34.8340,27.0401,6.6770,0.1462,97.2241,23.8069,0.9333,0.8619,0.0423,0.7519,0.0000
39,spec_uniao_sal_ce_ci_pro_rata,40,37.5037,28.2828,6.8888,0.1591,100.8989,24.7067,0.9223,0.8400,0.0456,0.7966,-0.0000
40,spec_rpps_ci_uniao_pro_rata,32,151.8986,79.4792,20.6872,-0.5984,660.2549,175.1246,0.5215,-1.8718,0.1702,2.8989,0.0000
