quarter,nominal_R_bi,deflator,real_R_bi_base2010,var_real_yoy_pct,deflator_is_proxy
2015Q1,264.0477,140.7068,187.6581,,False
2015Q2,286.3646,148.9174,192.2976,,False
2015Q3,286.4517,147.2563,194.5259,,False
2015Q4,348.9119,172.5742,202.1808,,False
2016Q1,289.4741,150.6551,192.1436,2.39,False
2016Q2,311.2563,159.3175,195.3686,1.6,False
2016Q3,309.4705,155.1647,199.4465,2.53,False
2016Q4,367.4441,189.9569,193.4355,-4.33,False
2017Q1,313.7459,162.7874,192.7335,0.31,False
2017Q2,316.9077,171.8607,184.398,-5.62,False
2017Q3,307.591,162.0957,189.7589,-4.86,False
2017Q4,389.5133,188.6705,206.4516,6.73,False
2018Q1,313.693,167.7395,187.012,-2.97,False
2018Q2,334.172,174.3287,191.6908,3.95,False
2018Q3,336.612,171.7356,196.006,3.29,False
2018Q4,409.0029,200.1517,204.3465,-1.02,False
2019Q1,330.2975,177.8409,185.7264,-0.69,False
2019Q2,352.4015,187.8811,187.5662,-2.15,False
2019Q3,358.7522,183.4486,195.5601,-0.23,False
2019Q4,435.1618,210.9069,206.3289,0.97,False
2020Q1,349.4715,184.4408,189.4762,2.02,False
2020Q2,354.73,211.9861,167.3364,-10.79,False
2020Q3,361.2343,197.1345,183.2426,-6.3,False
2020Q4,466.7681,225.7045,206.805,0.23,False
2021Q1,362.5462,196.646,184.3649,-2.7,False
2021Q2,395.9308,211.1714,187.4926,12.05,False
2021Q3,401.1287,206.8786,193.8957,5.81,False
2021Q4,511.9292,241.716,211.7895,2.41,False
2022Q1,401.4098,202.4082,198.317,7.57,False
2022Q2,447.9286,230.2239,194.5622,3.77,False
2022Q3,446.5617,228.1158,195.761,0.96,False
2022Q4,558.9835,269.9052,207.1036,-2.21,False
2023Q1,451.1596,225.1312,200.3985,1.05,False
2023Q2,493.3652,245.9153,200.624,3.12,False
2023Q3,513.667,241.6267,212.587,8.6,False
2023Q4,625.7068,294.1017,212.7518,2.73,False
2024Q1,491.0034,237.5499,206.6948,3.14,False
2024Q2,532.9988,259.348,205.5149,2.44,False
2024Q3,528.9373,254.49,207.8421,-2.23,False
2024Q4,657.9789,297.3286,221.2969,4.02,False
2025Q1,536.3339,255.257,210.1153,1.65,False
2025Q2,572.655,279.0763,205.1966,-0.15,False
2025Q3,597.1875,277.6124,215.1156,3.5,False
2025Q4,731.2382,319.6649,228.7515,3.37,False
2026Q1,592.4724,285.4603,207.5498,-1.22,False
